,sourceid,dstid,dow,mean_travel_time,src_longitude_rad,src_latitude_rad,dst_longitude_rad,dst_latitude_rad,src_lat_long,dst_lat_long,distances
44,762,793,2,1368.31,-0.001064552720763866,0.8977099237173799,-0.0023339009315822084,0.8970577671973163,"-0.001064552720763866, 0.8977099237173799","-0.0023339009315822084, 0.8970577671973163",4.057550224742364
45,762,791,4,1325.38,-0.001064552720763866,0.8977099237173799,-0.0024384180537858303,0.8971982777719795,"-0.001064552720763866, 0.8977099237173799","-0.0024384180537858303, 0.8971982777719795",3.947672204968777
46,762,974,5,2836.54,-0.001064552720763866,0.8977099237173799,-0.003027508822175816,0.8993597451296971,"-0.001064552720763866, 0.8977099237173799","-0.003027508822175816, 0.8993597451296971",8.123084564280386
47,762,309,3,1599.24,-0.001064552720763866,0.8977099237173799,-0.00254281500908202,0.8963601648990259,"-0.001064552720763866, 0.8977099237173799","-0.00254281500908202, 0.8963601648990259",6.467236150422403
48,762,448,5,820.94,-0.001064552720763866,0.8977099237173799,-0.0005017865354087902,0.8969143739730828,"-0.001064552720763866, 0.8977099237173799","-0.0005017865354087902, 0.8969143739730828",3.439908970175559
49,762,338,1,1697.07,-0.001064552720763866,0.8977099237173799,-0.004021824306641979,0.8981638886713029,"-0.001064552720763866, 0.8977099237173799","-0.004021824306641979, 0.8981638886713029",7.509001050023019
50,750,927,3,1589.55,-0.0018324003006081832,0.899702203385939,-0.00038552407019260855,0.8992349131027445,"-0.0018324003006081832, 0.899702203385939","-0.00038552407019260855, 0.8992349131027445",4.011686013142976
51,750,21,2,1032.14,-0.0018324003006081832,0.899702203385939,-0.001613140364170742,0.8990955091938707,"-0.0018324003006081832, 0.899702203385939","-0.001613140364170742, 0.8990955091938707",2.4599898169075987
52,750,148,4,677.43,-0.0018324003006081832,0.899702203385939,-0.0014295731469417242,0.900071272500073,"-0.0018324003006081832, 0.899702203385939","-0.0014295731469417242, 0.900071272500073",1.7644414298357305
53,750,125,4,1761.68,-0.0018324003006081832,0.899702203385939,-0.0013962963972568292,0.901210681783096,"-0.0018324003006081832, 0.899702203385939","-0.0013962963972568292, 0.901210681783096",6.063027048933781
54,750,40,7,1959.83,-0.0018324003006081832,0.899702203385939,0.0018684161209675835,0.8992428363328513,"-0.0018324003006081832, 0.899702203385939","0.0018684161209675835, 0.8992428363328513",9.286229935079785
55,750,178,4,973.51,-0.0018324003006081832,0.899702203385939,-0.0013771824042630597,0.9003383675913486,"-0.0018324003006081832, 0.899702203385939","-0.0013771824042630597, 0.9003383675913486",2.754386598265361
56,750,878,5,2555.83,-0.0018324003006081832,0.899702203385939,-0.00048397720932645875,0.8982654344847636,"-0.0018324003006081832, 0.899702203385939","-0.00048397720932645875, 0.8982654344847636",6.58251746818795
57,750,826,4,1824.45,-0.0018324003006081832,0.899702203385939,0.0009135201999098057,0.9000638827289779,"-0.0018324003006081832, 0.899702203385939","0.0009135201999098057, 0.9000638827289779",6.903359702228568
58,750,331,2,2151.95,-0.0018324003006081832,0.899702203385939,-0.002485763979529141,0.8984635707832441,"-0.0018324003006081832, 0.899702203385939","-0.002485763979529141, 0.8984635707832441",5.157294307680077
59,750,323,1,1678.56,-0.0018324003006081832,0.899702203385939,-0.00010356366492332708,0.8989314621127701,"-0.0018324003006081832, 0.899702203385939","-0.00010356366492332708, 0.8989314621127701",5.234685007958552
60,100,627,3,571.36,0.0006822425900373455,0.8982936236505308,0.0008921779525213977,0.8986496253117803,"0.0006822425900373455, 0.8982936236505308","0.0008921779525213977, 0.8986496253117803",1.5003231512302961
61,100,446,5,1117.68,0.0006822425900373455,0.8982936236505308,0.0010689602843022413,0.8969668939339004,"0.0006822425900373455, 0.8982936236505308","0.0010689602843022413, 0.8969668939339004",5.334506033714492
62,100,920,4,1297.93,0.0006822425900373455,0.8982936236505308,-0.000943969874357584,0.8994014077294435,"0.0006822425900373455, 0.8982936236505308","-0.000943969874357584, 0.8994014077294435",5.936652097992454
63,100,273,4,1470.83,0.0006822425900373455,0.8982936236505308,0.0006571962235846942,0.9004870584490641,"0.0006822425900373455, 0.8982936236505308","0.0006571962235846942, 0.9004870584490641",8.677446983970812
64,100,577,7,2287.88,0.0006822425900373455,0.8982936236505308,-0.0021836390993108883,0.8972108254188651,"0.0006822425900373455, 0.8982936236505308","-0.0021836390993108883, 0.8972108254188651",8.264195739288569
65,100,960,6,1602.54,0.0006822425900373455,0.8982936236505308,-0.0005149118030139116,0.9002763537624692,"0.0006822425900373455, 0.8982936236505308","-0.0005149118030139116, 0.9002763537624692",8.378873786078737
66,100,289,7,1151.48,0.0006822425900373455,0.8982936236505308,-0.001113225500651408,0.8985253107021789,"0.0006822425900373455, 0.8982936236505308","-0.001113225500651408, 0.8985253107021789",4.518005400218321
67,100,902,5,1192.67,0.0006822425900373455,0.8982936236505308,-0.0009147607650569611,0.8987953279911364,"0.0006822425900373455, 0.8982936236505308","-0.0009147607650569611, 0.8987953279911364",4.406641018796659
68,100,963,5,1738.43,0.0006822425900373455,0.8982936236505308,-0.00023502789080727556,0.9001388746801452,"0.0006822425900373455, 0.8982936236505308","-0.00023502789080727556, 0.9001388746801452",7.641025479390934
69,100,582,7,2169.48,0.0006822425900373455,0.8982936236505308,-0.00193218650670927,0.8970839978087158,"0.0006822425900373455, 0.8982936236505308","-0.00193218650670927, 0.8970839978087158",8.029524213526226
70,791,690,1,1975.38,-0.0024384180537858303,0.8971982777719795,-0.0036569251946638685,0.8983166294116981,"-0.0024384180537858303, 0.8971982777719795","-0.0036569251946638685, 0.8983166294116981",5.348160611171397
71,791,110,6,520.76,-0.0024384180537858303,0.8971982777719795,-0.002179802379114855,0.8968749481450832,"-0.0024384180537858303, 0.8971982777719795","-0.002179802379114855, 0.8968749481450832",1.4295254014993268
72,791,783,2,1253.59,-0.0024384180537858303,0.8971982777719795,-0.0034601742072558907,0.8973550598609427,"-0.0024384180537858303, 0.8971982777719795","-0.0034601742072558907, 0.8973550598609427",2.5963721476315422
73,791,304,5,1160.77,-0.0024384180537858303,0.8971982777719795,-0.0033361330614548445,0.896519681352106,"-0.0024384180537858303, 0.8971982777719795","-0.0033361330614548445, 0.896519681352106",3.481180759567753
74,791,243,5,1068.92,-0.0024384180537858303,0.8971982777719795,-0.0022685260082536806,0.8979291589160263,"-0.0024384180537858303, 0.8971982777719795","-0.0022685260082536806, 0.8979291589160263",2.9215763454691275
75,791,110,4,517.36,-0.0024384180537858303,0.8971982777719795,-0.002179802379114855,0.8968749481450832,"-0.0024384180537858303, 0.8971982777719795","-0.002179802379114855, 0.8968749481450832",1.4295254014993268
76,791,213,5,2173.71,-0.0024384180537858303,0.8971982777719795,-0.0031295222863562265,0.898722656018265,"-0.0024384180537858303, 0.8971982777719795","-0.0031295222863562265, 0.898722656018265",6.266523468851909
77,791,978,2,3050.84,-0.0024384180537858303,0.8971982777719795,-0.002979528754991399,0.899122468523637,"-0.0024384180537858303, 0.8971982777719795","-0.002979528754991399, 0.899122468523637",7.728056425599711
78,791,285,6,2186.7,-0.0024384180537858303,0.8971982777719795,-0.0018262500856510815,0.8988110133669136,"-0.0024384180537858303, 0.8971982777719795","-0.0018262500856510815, 0.8988110133669136",6.556044900187103
79,791,514,6,1091.33,-0.0024384180537858303,0.8971982777719795,-0.0015028001452399805,0.8963675842624461,"-0.0024384180537858303, 0.8971982777719795","-0.0015028001452399805, 0.8963675842624461",4.016932573015574
80,839,594,1,1505.93,-0.003334498436244621,0.8986464251311282,-0.006499631416785796,0.8988081105684013,"-0.003334498436244621, 0.8986464251311282","-0.006499631416785796, 0.8988081105684013",7.822014640883375
81,839,299,6,2194.46,-0.003334498436244621,0.8986464251311282,-0.0033613988889005116,0.8966854119149013,"-0.003334498436244621, 0.8986464251311282","-0.0033613988889005116, 0.8966854119149013",7.758051971303165
82,839,797,3,658.65,-0.003334498436244621,0.8986464251311282,-0.0034780996411424834,0.8990449726659275,"-0.003334498436244621, 0.8986464251311282","-0.0034780996411424834, 0.8990449726659275",1.6158280660826048
83,839,972,6,1113.73,-0.003334498436244621,0.8986464251311282,-0.003459078607542863,0.8978800089741723,"-0.003334498436244621, 0.8986464251311282","-0.003459078607542863, 0.8978800089741723",3.0474477481486533
84,839,702,4,2232.96,-0.003334498436244621,0.8986464251311282,-0.0061771726829101745,0.9002280805895688,"-0.003334498436244621, 0.8986464251311282","-0.0061771726829101745, 0.9002280805895688",9.385370924337149
85,839,132,7,2149.9,-0.003334498436244621,0.8986464251311282,-0.002160173218727084,0.9009943578433446,"-0.003334498436244621, 0.8986464251311282","-0.002160173218727084, 0.9009943578433446",9.727165528770696
86,839,435,3,1360.71,-0.003334498436244621,0.8986464251311282,-0.004567732264730628,0.8997269570597516,"-0.003334498436244621, 0.8986464251311282","-0.004567732264730628, 0.8997269570597516",5.2428785925108805
87,839,863,7,1504.24,-0.003334498436244621,0.8986464251311282,-0.005878844634943187,0.8976508391614082,"-0.003334498436244621, 0.8986464251311282","-0.005878844634943187, 0.8976508391614082",7.405539162272389
88,839,795,5,2515.12,-0.003334498436244621,0.8986464251311282,-0.0037441062841429007,0.8970604653483756,"-0.003334498436244621, 0.8986464251311282","-0.0037441062841429007, 0.8970604653483756",6.354829456718976
89,839,106,6,1620.87,-0.003334498436244621,0.8986464251311282,-0.002165874234013179,0.8993015401208397,"-0.003334498436244621, 0.8986464251311282","-0.002165874234013179, 0.8993015401208397",3.872515238589147
90,790,5,2,1868.7,-0.0040068518133106095,0.8972063096196411,-0.002134359220778617,0.8982902719703042,"-0.0040068518133106095, 0.8972063096196411","-0.002134359220778617, 0.8982902719703042",6.301684420842421
91,790,969,2,573.94,-0.0040068518133106095,0.8972063096196411,-0.003762611981920743,0.8979465993097311,"-0.0040068518133106095, 0.8972063096196411","-0.003762611981920743, 0.8979465993097311",2.9899080107481084
92,790,977,5,2249.9,-0.0040068518133106095,0.8972063096196411,-0.0028274274437910278,0.8991628962229599,"-0.0040068518133106095, 0.8972063096196411","-0.0028274274437910278, 0.8991628962229599",8.268122819741366
93,790,312,5,1363.14,-0.0040068518133106095,0.8972063096196411,-0.002735886364603426,0.896291063003667,"-0.0040068518133106095, 0.8972063096196411","-0.002735886364603426, 0.896291063003667",4.791441729610701
94,790,215,5,1675.26,-0.0040068518133106095,0.8972063096196411,-0.0032106305623380627,0.8985976378310073,"-0.0040068518133106095, 0.8972063096196411","-0.0032106305623380627, 0.8985976378310073",5.843715792901833
95,790,836,4,1575.11,-0.0040068518133106095,0.8972063096196411,-0.005213435998991262,0.8983909872376237,"-0.0040068518133106095, 0.8972063096196411","-0.005213435998991262, 0.8983909872376237",5.551270840424998
96,790,20,7,2333.25,-0.0040068518133106095,0.8972063096196411,-0.0033429798271248177,0.8993181689114282,"-0.0040068518133106095, 0.8972063096196411","-0.0033429798271248177, 0.8993181689114282",8.513208612287395
97,790,552,7,1822.69,-0.0040068518133106095,0.8972063096196411,-0.005154442667887074,0.8991468025385635,"-0.0040068518133106095, 0.8972063096196411","-0.005154442667887074, 0.8991468025385635",8.181104815498232
98,790,17,6,971.75,-0.0040068518133106095,0.8972063096196411,-0.0028249736001453776,0.8976640459244671,"-0.0040068518133106095, 0.8972063096196411","-0.0028249736001453776, 0.8976640459244671",3.4322705046698068
99,790,311,6,1768.96,-0.0040068518133106095,0.8972063096196411,-0.0022664003226579746,0.8963358593833144,"-0.0040068518133106095, 0.8972063096196411","-0.0022664003226579746, 0.8963358593833144",5.506780296250821
100,21,401,6,2057.59,-0.001613140364170742,0.8990955091938707,0.0015002494437998156,0.8977390903656683,"-0.001613140364170742, 0.8990955091938707","0.0015002494437998156, 0.8977390903656683",9.361816446958526
101,21,73,6,2313.62,-0.001613140364170742,0.8990955091938707,0.00032098876556485107,0.8973115630699748,"-0.001613140364170742, 0.8990955091938707","0.00032098876556485107, 0.8973115630699748",8.516406402805186
102,21,801,6,1667.07,-0.001613140364170742,0.8990955091938707,0.00040141219917345325,0.8997599828755487,"-0.001613140364170742, 0.8990955091938707","0.00040141219917345325, 0.8997599828755487",5.6113271872374515
103,21,309,7,3018.5,-0.001613140364170742,0.8990955091938707,-0.00254281500908202,0.8963601648990259,"-0.001613140364170742, 0.8990955091938707","-0.00254281500908202, 0.8963601648990259",11.061235859204732
104,21,636,2,1345.15,-0.001613140364170742,0.8990955091938707,-0.0010663138005969147,0.8998339916337373,"-0.001613140364170742, 0.8990955091938707","-0.0010663138005969147, 0.8998339916337373",3.2164321347865648
105,21,626,1,2173.4,-0.001613140364170742,0.8990955091938707,0.0028601894483343323,0.9000853927371769,"-0.001613140364170742, 0.8990955091938707","0.0028601894483343323, 0.9000853927371769",11.68189137108918
106,21,842,5,2452.24,-0.001613140364170742,0.8990955091938707,-0.005027072781740385,0.8980911795160302,"-0.001613140364170742, 0.8990955091938707","-0.005027072781740385, 0.8980911795160302",9.30131122942636
107,21,97,7,1649.68,-0.001613140364170742,0.8990955091938707,0.0006848476237821073,0.898402814599544,"-0.001613140364170742, 0.8990955091938707","0.0006848476237821073, 0.898402814599544",6.288341762014157
108,21,481,6,1897.08,-0.001613140364170742,0.8990955091938707,-0.004377501248611802,0.8987136455001763,"-0.001613140364170742, 0.8990955091938707","-0.004377501248611802, 0.8987136455001763",6.972795365749724
109,21,343,3,1806.28,-0.001613140364170742,0.8990955091938707,-0.0027430939225072093,0.8980202779797095,"-0.001613140364170742, 0.8990955091938707","-0.0027430939225072093, 0.8980202779797095",5.083525954288957
110,438,678,4,1421.4,-0.004148051312326887,0.8996222847560966,-0.0036824766408404784,0.8987303451339158,"-0.004148051312326887, 0.8996222847560966","-0.0036824766408404784, 0.8987303451339158",3.7099728089328927
111,438,524,1,1535.32,-0.004148051312326887,0.8996222847560966,-0.002425636530408238,0.8993489650543789,"-0.004148051312326887, 0.8996222847560966","-0.002425636530408238, 0.8993489650543789",4.374063151771134
112,438,819,7,2600.22,-0.004148051312326887,0.8996222847560966,-0.0025232520841207617,0.897759335959192,"-0.004148051312326887, 0.8996222847560966","-0.0025232520841207617, 0.897759335959192",8.386370917987755
113,438,953,2,1889.72,-0.004148051312326887,0.8996222847560966,3.889675756963761e-05,0.9005390000101664,"-0.004148051312326887, 0.8996222847560966","3.889675756963761e-05, 0.9005390000101664",10.915091768463155
114,438,492,7,1509.2,-0.004148051312326887,0.8996222847560966,-0.002377070618567397,0.899531525402973,"-0.004148051312326887, 0.8996222847560966","-0.002377070618567397, 0.899531525402973",4.372088017479591
115,438,203,5,2855.0,-0.004148051312326887,0.8996222847560966,-0.0016349379637781078,0.8995068756125482,"-0.004148051312326887, 0.8996222847560966","-0.0016349379637781078, 0.8995068756125482",6.200191279924639
116,438,544,7,779.08,-0.004148051312326887,0.8996222847560966,-0.005382616268602355,0.8993141211359349,"-0.004148051312326887, 0.8996222847560966","-0.005382616268602355, 0.8993141211359349",3.2734182279218533
117,438,85,6,1002.73,-0.004148051312326887,0.8996222847560966,-0.0029874386173510746,0.8995609813390171,"-0.004148051312326887, 0.8996222847560966","-0.0029874386173510746, 0.8995609813390171",2.8657981572625078
118,438,202,1,2436.94,-0.004148051312326887,0.8996222847560966,-0.0019233874428293805,0.8995547292724114,"-0.004148051312326887, 0.8996222847560966","-0.0019233874428293805, 0.8995547292724114",5.480002657450672
119,438,171,3,1449.9,-0.004148051312326887,0.8996222847560966,-0.002703808294014155,0.900485575485062,"-0.004148051312326887, 0.8996222847560966","-0.002703808294014155, 0.900485575485062",4.926969766996526
120,671,965,6,763.04,-0.000999041819417243,0.9004695799203541,-0.0006143120041845947,0.9000233225056133,"-0.000999041819417243, 0.9004695799203541","-0.0006143120041845947, 0.9000233225056133",2.002782491219775
121,671,135,6,808.79,-0.000999041819417243,0.9004695799203541,-0.0014513232712827333,0.9009418594148325,"-0.000999041819417243, 0.9004695799203541","-0.0014513232712827333, 0.9009418594148325",2.1738158586267122
122,671,175,2,1219.68,-0.000999041819417243,0.9004695799203541,-0.0024615226263191427,0.9003569494498077,"-0.000999041819417243, 0.9004695799203541","-0.0024615226263191427, 0.9003569494498077",3.6220075225928037
123,671,4,7,1667.31,-0.000999041819417243,0.9004695799203541,0.0005441969938265489,0.89904055737224,"-0.000999041819417243, 0.9004695799203541","0.0005441969938265489, 0.89904055737224",6.809510132702565
124,671,268,7,1759.81,-0.000999041819417243,0.9004695799203541,0.0002779989227529108,0.8992070284586315,"-0.000999041819417243, 0.9004695799203541","0.0002779989227529108, 0.8992070284586315",5.900204784704234
125,671,128,6,1011.93,-0.000999041819417243,0.9004695799203541,-0.0011440042711096424,0.901138032975448,"-0.000999041819417243, 0.9004695799203541","-0.0011440042711096424, 0.901138032975448",2.6682710310251445
126,671,891,1,2102.76,-0.000999041819417243,0.9004695799203541,0.000812087784260381,0.8988742272874015,"-0.000999041819417243, 0.9004695799203541","0.000812087784260381, 0.8988742272874015",7.725510499816101
127,671,941,7,1975.35,-0.000999041819417243,0.9004695799203541,-0.00039318006119979125,0.8988708159275247,"-0.000999041819417243, 0.9004695799203541","-0.00039318006119979125, 0.8988708159275247",6.497962000994933
128,671,135,7,768.78,-0.000999041819417243,0.9004695799203541,-0.0014513232712827333,0.9009418594148325,"-0.000999041819417243, 0.9004695799203541","-0.0014513232712827333, 0.9009418594148325",2.1738158586267122
129,671,12,7,1893.38,-0.000999041819417243,0.9004695799203541,0.0022567481320831992,0.9007730085670836,"-0.000999041819417243, 0.9004695799203541","0.0022567481320831992, 0.9007730085670836",8.089558401888198
130,662,214,1,2449.89,-0.006762179652304785,0.8992215379046082,-0.0030135704396244607,0.8986074675395098,"-0.006762179652304785, 0.8992215379046082","-0.0030135704396244607, 0.8986074675395098",9.545067570225132
131,662,924,2,3588.43,-0.006762179652304785,0.8992215379046082,-0.0012101485157253462,0.8992740915777214,"-0.006762179652304785, 0.8992215379046082","-0.0012101485157253462, 0.8992740915777214",13.667446846108696
132,662,133,6,2197.14,-0.006762179652304785,0.8992215379046082,-0.0018695254320056822,0.9009808633447591,"-0.006762179652304785, 0.8992215379046082","-0.0018695254320056822, 0.9009808633447591",13.8981690474806
133,662,718,2,614.88,-0.006762179652304785,0.8992215379046082,-0.0074542956926326115,0.899913604231906,"-0.006762179652304785, 0.8992215379046082","-0.0074542956926326115, 0.899913604231906",3.2242057957706076
134,662,162,7,1838.87,-0.006762179652304785,0.8992215379046082,-0.002040756857200306,0.9006861002539812,"-0.006762179652304785, 0.8992215379046082","-0.002040756857200306, 0.9006861002539812",12.976323879144074
135,662,438,7,1361.88,-0.006762179652304785,0.8992215379046082,-0.004148051312326887,0.8996222847560966,"-0.006762179652304785, 0.8992215379046082","-0.004148051312326887, 0.8996222847560966",6.625522151229382
