sourceid,dstid,dow,mean_travel_time
662,149,4,3238.71
662,317,4,3514.63
662,339,7,2218.25
662,328,3,3209.87
690,686,7,276.55
690,437,1,1506.61
690,969,6,443.94
690,349,5,542.36
690,43,6,2674.79
690,902,3,2808.96
690,937,6,2765.32
690,489,6,1240.79
690,353,7,903.67
690,246,2,1452.42
731,860,3,980.03
731,594,7,784.5
731,852,5,1666.82
731,158,1,2655.32
731,858,6,1061.71
731,677,4,1968.11
731,425,1,2223.61
731,842,1,1552.13
731,496,7,1525.51
731,544,4,1690.08
634,237,5,2652.16
634,279,3,1768.14
634,551,1,1157.58
634,840,3,3068.14
634,215,4,2823.27
634,331,6,2423.9
634,137,3,1229.71
634,833,4,1712.64
634,289,4,2047.64
634,867,4,2386.48
429,198,1,1211.07
429,433,1,1383.56
429,170,7,1468.3
429,844,5,2701.89
429,418,7,926.99
429,950,6,1739.74
429,541,3,1399.28
429,416,7,686.76
429,573,5,1946
429,196,1,991.62
675,892,6,1781.24
675,640,4,1335.34
675,205,6,1150.69
675,560,7,1007.36
675,892,7,1806.44
675,356,3,1668.98
675,474,3,740.85
675,490,3,1525.94
675,974,4,1956.51
675,205,1,1176.86
42,57,3,1230.81
42,132,4,585.15
42,479,6,2795.7
42,178,7,1462.85
42,441,7,1624.25
42,491,5,2281.56
42,893,2,2196.21
42,703,4,1425.74
42,739,4,1414.26
42,362,3,3074
635,665,6,2202.08
635,771,7,2546.37
635,546,4,2443.92
635,492,2,1341.29
635,910,4,2302.07
635,464,3,1349
635,48,5,1664.86
635,932,2,1188.87
635,596,3,1812.2
635,877,1,1749.81
783,301,6,690.57
783,374,7,2734.53
783,476,5,2739.25
783,291,4,1774.39
783,109,2,1388
783,316,1,1435.81
783,236,4,1336.86
783,353,4,579.94
783,906,3,2590.13
783,259,2,2071.92
643,35,7,696.99
643,36,1,1543.46
643,276,3,1633.05
643,619,3,480.78
643,953,3,1660.86
643,652,3,475.08
643,23,6,916.36
643,641,1,661.6
643,10,7,1476.37
643,10,5,1653.54
876,979,7,1987.08
876,213,3,2300.57
876,868,5,1017.68
876,337,3,1860.46
876,212,3,2181.28
876,757,5,1103.33
876,88,7,1061.52
876,878,2,308.9
876,931,4,1435.83
876,204,5,2151.73
60,694,7,1088.21
60,674,4,2207.41
60,410,6,1033.14
60,532,6,1385.34
60,896,7,1872.03
60,573,6,2335.69
60,552,1,1462.06
60,439,1,1231.77
60,979,5,2072.78
60,420,4,679.31
780,109,3,1146.73
780,909,1,2068.45
780,353,2,506.65
780,971,6,786.88
780,248,2,846.79
780,530,3,1559.87
780,930,5,2737.79
780,690,2,1625.26
780,353,4,495.2
780,332,4,1497.76
469,922,2,1887.1
469,357,5,1176.19
469,837,6,2395.32
469,874,7,2822.05
469,637,5,2290.63
469,610,4,1899.07
469,147,1,1100.23
469,360,2,1202.14
469,230,2,2283.61
469,517,7,690.17
640,907,2,2036.75
640,150,2,2702.87
640,193,7,1866.07
640,411,7,2382.91
640,663,5,1905.18
640,591,7,1224.91
640,849,2,1510.27
640,83,6,1027.95
640,551,2,1328.39
640,14,2,2596.97
722,532,1,1202.93
722,106,2,3188.6
722,493,6,2677.09
722,541,3,847.08
722,586,6,994.03
722,860,6,1190.81
722,724,1,704.07
722,541,6,768.26
722,543,7,826.82
722,147,5,4078.42
845,336,5,1914.91
845,498,5,860.91
845,734,5,1058.39
845,980,1,2121.18
845,855,5,346.09
845,372,7,2123.51
845,971,5,1626.52
845,344,7,1498.5
845,723,2,568.66
845,982,6,2192.18
226,684,1,1241.21
226,345,6,1308.33
226,365,7,2011.37
226,365,6,2220.93
226,907,1,2304.19
226,908,7,2937.45
226,374,7,2924.92
226,523,6,1396.36
226,336,4,1680.71
226,800,5,849.5
227,966,2,1341.71
227,348,4,1642.67
227,524,7,2775.75
227,351,5,1766.59
227,159,4,2393.43
227,838,2,2096.27
227,253,7,1797.3
227,978,7,2532.8
227,296,4,1443.5
227,8,5,765.38
564,594,7,1092.22
564,356,5,1992.5
564,556,1,1352.59
564,199,4,589.27
564,517,7,2038.4
564,489,4,1667.83
564,714,3,948.45
564,474,3,819.56
564,679,7,1641.08
564,504,5,173.38
288,874,7,821.88
288,791,4,1893.95
288,492,4,1856.41
288,893,4,1848.28
288,746,2,1966.52
288,925,2,1638.76
288,223,3,2139.14
288,881,2,1128.12
288,268,6,1745.8
288,976,7,1410.37
216,495,3,2300.64
216,254,4,2073.46
216,794,2,86.42
216,498,4,1933.87
216,348,1,1399.12
216,542,7,2089.88
216,240,7,1556.29
216,215,1,1529.68
216,310,4,1061.5
216,220,1,696.64
237,509,3,1781.85
237,741,5,2688.17
237,767,6,1625.71
237,322,7,1288.3
237,941,7,1915.78
237,17,5,983.63
237,357,4,1991.43
237,392,2,2647
237,159,2,2014.69
237,666,5,2075.59
773,868,5,1927.53
773,153,1,2312.92
773,288,3,1996.96
773,886,6,662.31
773,772,5,465.61
773,629,7,1499.12
773,519,4,1342.96
773,101,7,1021.86
773,978,2,3176.1
773,874,4,1133.23
632,341,5,2793.93
632,626,5,2096.42
632,86,7,2517.93
632,383,1,1145.39
632,93,4,567.7
632,572,2,2155.11
632,808,3,1043.92
632,830,4,1291.3
632,962,6,1101.04
632,425,3,2634.71
239,258,6,1266.32
239,752,6,2225.47
239,789,3,1797.11
239,335,5,1033.12
239,975,7,1800.7
239,977,5,1839.72
239,142,1,1818.46
239,249,1,435.28
239,515,7,1769.86
239,254,3,590.6
673,484,3,1182.99
673,589,3,1348.29
673,55,1,1629.12
673,593,4,816.21
673,596,7,2304.75
673,686,5,2249.6
673,726,2,1381.56
673,491,3,2320.88
673,282,6,2605.42
673,703,4,1911.18
245,69,1,977.12
245,519,7,1812.58
245,217,4,1712
245,575,5,709.13
245,899,5,1741.53
245,845,4,2463.9
245,206,7,1989.58
245,317,6,2390.21
245,637,1,2816.45
245,442,1,1610.51
273,902,1,1693.56
273,201,2,1822.94
273,330,4,3312.43
273,260,4,2144.16
273,570,5,723.75
273,122,3,810.4
273,173,6,1017.24
273,605,4,1317.27
273,870,5,3032.22
273,505,1,2150.45
683,688,3,254.42
683,689,6,358.64
683,495,7,935.17
683,879,4,3135.68
683,859,6,1541.15
683,501,3,1563.63
683,898,5,2035.57
683,573,1,1801.35
683,841,7,672.92
683,893,4,1644.87
285,491,3,1545.03
285,389,2,2088.59
285,591,1,2587.36
285,201,2,1339.93
285,388,1,2327.89
285,181,4,1916.6
285,635,2,1767.87
285,900,6,523.81
285,481,6,1779.1
285,549,6,2277.57
70,356,6,2920.31
70,813,1,2439
70,21,2,2330.78
70,257,1,1114.03
70,678,7,2291.23
70,355,3,1055.85
70,513,7,1062.92
70,461,3,1799.21
70,357,7,2933.21
70,909,4,1500.92
238,874,4,1490.6
238,506,4,1587.53
238,940,4,1429.37
238,790,1,1251.06
238,302,3,1543.11
238,339,1,584.23
238,50,5,3239.11
238,183,6,2991.58
238,74,6,1302.07
238,213,4,1348.78
633,320,4,1203.32
633,941,1,1853.81
633,147,7,123.14
633,664,3,1793.82
633,819,3,2737.31
633,203,7,592.96
633,896,2,1485.91
633,154,7,953.56
633,749,4,362.38
633,920,5,1185.29
322,377,6,1898.84
322,832,7,1448.73
322,114,4,2501.74
322,259,3,1637.55
322,751,3,1252.76
322,703,3,2095.92
322,619,4,2568.97
322,806,7,1281.77
322,482,6,2210.37
322,63,6,2593.45
331,234,3,306.18
331,894,2,2843.55
331,876,6,1354.57
331,910,6,1033.8
331,376,4,2149.25
331,458,2,2330.14
331,563,5,2598
331,855,6,2205.75
331,215,7,781.56
331,729,6,2186.31
356,44,4,1887.18
356,233,6,1559.14
356,898,6,1429.82
356,208,4,570.68
356,505,4,633.36
356,53,3,1681.13
356,144,6,2935.57
356,220,1,2848.22
356,155,5,1564.11
356,240,3,1821.27
255,471,3,3208.06
255,782,4,2705
255,454,5,1304.62
255,297,2,1002.75
255,340,6,1267.43
255,333,7,1023
255,772,5,1087.83
255,115,3,981.4
255,269,5,3212.27
255,481,6,1999.77
326,636,3,801.29
326,23,4,1000.94
326,369,3,1694.62
326,270,4,1687.45
326,464,7,1957.71
326,253,4,3732.67
326,704,3,1706.33
326,132,4,1354.38
326,831,1,926.74
326,323,3,882.6
681,332,2,904.01
681,761,4,2339.91
681,845,1,1066.89
681,943,7,2686.14
681,251,5,1978.73
681,494,5,3754.35
681,498,4,878.22
681,881,5,3224.56
681,495,3,753.84
681,937,1,2625.96
340,750,7,2725.41
340,293,6,1323.24
340,498,3,1743.75
340,268,3,2939
340,271,7,2877.73
340,929,2,3181.86
340,132,1,3709.5
340,792,1,1304.59
340,550,2,1681.31
340,485,4,1998.04
682,781,6,1495.43
682,374,3,1610.69
682,769,1,820.08
682,419,3,1790.13
682,345,7,837.46
682,900,6,2296.02
682,252,4,1953.93
682,245,3,1596.13
682,296,3,2128.41
682,499,4,1140.25
153,494,5,1056.08
153,366,5,2899.1
153,959,1,1023.6
153,332,2,3272.08
153,212,3,2709.46
153,610,6,301.58
153,287,5,1814.32
153,808,2,990.25
153,861,1,2260.86
153,322,5,1300.69
299,223,7,977.1
299,512,6,1290.94
299,230,4,2334.92
299,308,5,339.67
299,17,4,1084.05
299,851,5,1595.14
299,512,1,1425.31
299,251,6,1426.51
299,253,5,1458.15
299,15,1,1223.64
342,106,1,2263.76
342,85,7,2045.06
342,975,3,2346.55
342,800,1,961.33
342,239,7,1465.79
342,838,1,1339.2
342,2,3,2976.88
342,877,6,2862.9
342,61,5,2628.67
342,96,1,2718.72
363,794,7,1773.09
363,314,4,2775.81
363,969,5,1381.69
363,43,2,2091.22
363,445,4,2767.92
363,249,3,1696.04
363,791,4,2476.82
363,419,1,1760.08
363,17,4,1445.83
363,838,5,556.68
206,326,7,2515.53
206,216,7,1794.42
206,297,3,2699.29
206,741,5,1622.61
206,969,5,1366
206,792,7,2144.71
206,170,2,2462.11
206,436,7,600.53
206,690,6,927.66
206,577,7,2238.91
248,631,6,2314.29
248,315,7,1740.47
248,977,2,2276.41
248,980,4,1500.07
248,780,5,731.12
248,916,5,887.51
248,364,1,1682.28
248,493,6,2494.33
248,394,3,1939.9
248,897,3,2186.59
751,221,3,3654.88
751,89,7,2692.16
751,46,3,1579.92
751,597,7,1984.77
751,946,5,1964.07
751,100,1,1671.8
751,544,1,2368.62
751,418,5,2234.33
751,938,3,1436.46
751,910,6,1890.68
321,257,5,1673.32
321,861,1,1699.67
321,910,5,1466.75
321,901,3,1052.64
321,974,2,2267.94
321,964,5,901.21
321,336,2,2184.88
321,425,2,2976.88
321,320,5,267.62
321,156,4,1013.07
287,764,5,1417.05
287,916,4,690.45
287,510,7,1674.81
287,397,1,1779.61
287,763,7,1461.37
287,908,2,174.63
287,260,4,1254.2
287,318,3,1400.9
287,465,2,2504.79
287,264,7,1527.64
362,571,5,1712.52
362,851,6,2347.76
362,751,5,1371.35
362,865,5,2419.54
362,678,6,1021.1
362,64,2,1352.67
362,324,6,2386.34
362,590,4,1763.17
362,73,5,2530.8
362,87,2,2877
71,4,4,2530.45
71,362,4,3030.44
71,640,3,2835.25
71,314,7,1569.64
71,387,6,2034.92
71,215,3,2545.74
71,235,5,1493.15
71,255,3,1227.64
71,104,6,1300.1
71,303,4,1439.06
672,975,4,1736.85
672,903,5,3143
672,466,2,2367.46
672,330,4,2332.48
672,854,2,2775.13
672,635,5,2966.89
672,974,5,1792.98
672,198,7,1350.63
672,498,6,1687.95
672,830,5,3105.74
753,893,7,1211.21
753,854,1,1150.84
753,556,2,1589.95
753,149,1,908.12
753,122,6,1913.2
753,465,1,1424
753,162,4,1526.23
753,211,6,1844.6
753,931,3,1030.47
753,973,3,3073.88
364,920,2,1622.57
364,803,5,746.8
364,751,3,1729.9
364,761,7,1760.8
364,268,3,1657.74
364,493,5,1053.07
364,121,7,2663.13
364,576,4,1693.3
364,846,6,2162.54
364,879,1,1929.81
256,305,1,1054.08
256,556,5,2514.25
256,108,3,1150.81
256,343,5,1061.86
256,498,6,2682.45
256,682,7,1808.48
256,780,3,533.73
256,792,7,534.5
256,300,6,1202.13
256,939,1,2741.76
655,681,6,2050.62
655,662,3,1112.61
655,550,1,1538.19
655,640,7,1793.95
655,662,4,1086.66
655,721,5,1596.88
655,839,4,2490.33
655,977,4,2475.09
655,425,6,1601.89
655,720,3,1448.42
333,300,4,1433.27
333,307,3,1812.34
333,346,2,504.37
333,496,2,1231.81
333,344,6,382
333,488,7,1561.95
333,439,7,1662.57
333,186,7,2753.55
333,260,3,1796.11
333,582,1,1278.77
142,527,3,1919.67
142,641,3,1831
142,38,7,1414.22
142,321,5,1341.09
142,755,7,2241.63
142,629,5,905.84
142,919,5,1584.7
142,279,6,1663.75
142,926,7,1708.03
142,363,3,2829.97
236,893,4,1967.4
236,866,5,2285.61
236,345,7,652.39
236,836,7,1786.91
236,264,7,2394.76
236,773,1,1894.73
236,155,3,2227.98
236,80,3,1351.77
236,114,3,1423.47
236,498,1,2486.58
415,269,7,1803.95
415,852,5,3018
415,979,4,1928.04
415,536,6,1212.75
415,131,7,667.93
415,548,3,2074
415,961,1,1575
415,117,4,1037.06
415,136,4,334.9
415,540,6,1391.88
587,751,4,2957
587,855,2,1300.55
587,684,5,1185.06
587,187,5,2584.55
587,705,5,1693.52
587,476,5,1338.01
587,474,5,1440.54
587,440,3,1150.86
587,903,4,3547
587,282,5,2783.77
328,282,4,260.76
328,373,4,2084.81
328,77,1,2112.82
328,287,7,1719.08
328,269,6,1081.57
328,617,7,1126.65
328,762,3,2144.26
328,952,3,678.67
328,2,5,949.64
328,317,6,301.56
644,41,1,757.6
644,269,5,1578.14
644,895,7,1233.11
644,709,7,547.06
644,566,5,1095.87
644,805,6,1399.42
644,830,2,1754.17
644,10,6,1382.13
644,625,3,153.76
644,643,6,209.84
246,519,7,1727.26
246,819,2,624.45
246,854,4,1448.9
246,111,4,1302.98
246,854,5,1431.96
246,608,6,2420.82
246,89,5,2034
246,919,1,483.2
246,904,1,1403.69
246,209,5,1818.21
935,539,4,3162.91
935,959,5,1808.27
935,50,5,2859.55
935,241,3,1615.02
935,488,6,2300.37
935,279,1,1917.02
935,888,5,1117.48
935,634,2,1350.08
935,375,6,2436.38
935,377,7,2075.62
917,523,2,2380.86
917,374,6,2848.24
917,73,3,1542.98
917,293,6,1815.05
917,517,4,2238.14
917,479,4,3496.21
917,578,3,1125.46
917,326,3,2382.55
917,273,1,2657.33
917,833,7,2280.95
530,308,4,1058.19
530,525,1,337.9
530,315,3,955.93
530,772,1,1942.66
530,585,6,1401.58
530,294,5,1462.78
530,980,5,3627.44
530,339,4,2823.77
530,292,4,2126.98
530,341,1,2035.79
481,684,5,556.03
481,153,5,3486.61
481,78,3,2988.23
481,47,2,2058.78
481,594,2,1136.75
481,774,6,1664.09
481,909,7,2206.03
481,741,3,2408
481,467,5,2350.31
481,425,7,1288.2
482,753,7,2060.79
482,357,1,1099.38
482,49,7,1441.57
482,913,7,2214.58
482,737,3,1437.42
482,250,7,1954.7
482,837,1,740.71
482,102,6,3376.56
482,83,1,1800.39
482,556,6,674.2
510,669,5,1297.57
510,752,3,782.93
510,370,2,937.93
510,367,5,956.31
510,44,4,1570.95
510,497,3,2099.95
510,553,1,1453.93
510,344,4,2591.33
510,685,2,2305.83
510,169,4,1915.16
937,832,2,1231.3
937,327,6,806.27
937,441,6,2710.25
937,286,3,636.09
937,393,1,1258.66
937,566,6,1908.98
937,338,4,2948.16
937,292,2,2148.66
937,6,3,1757.39
937,566,3,1976.49
492,837,2,2213.04
492,144,5,3504.58
492,249,3,2636.4
492,14,7,2237.54
492,418,7,1963.35
492,962,3,2204.81
492,154,4,1723.92
492,128,3,2024.17
492,743,4,771.46
492,920,3,1641.58
926,408,7,1281.73
926,224,6,3359.5
926,894,1,1428.56
926,36,7,1291.08
926,810,3,1363.31
926,916,2,1779.19
926,335,1,2526.08
926,236,6,1850.57
926,354,3,2386.69
926,352,1,2452.54
295,216,2,938.85
295,787,6,813.06
295,789,4,576.6
295,236,4,1909.92
295,364,6,3041.07
295,799,2,221.46
295,351,6,1298.2
295,776,4,972.33
295,312,3,953.59
295,246,7,1622.53
480,868,2,3285.94
480,845,7,1494.06
480,330,5,2196.6
480,289,5,3879.95
480,788,3,3811.41
480,682,4,1451.92
480,563,4,1584.63
480,198,3,1847.07
480,634,3,3917.35
480,15,1,3221.04
540,713,2,875.4
540,830,5,3060.68
540,368,5,1600.65
540,405,7,1464.97
540,555,7,635.72
540,554,5,987.96
540,954,1,2731.88
540,491,4,2509.77
540,278,7,2751.98
540,593,4,597
904,328,4,1847.98
904,258,1,997.26
904,797,3,2543.66
904,686,6,2002.84
904,89,3,1429.95
904,498,7,2859.37
904,635,6,2212.24
904,144,1,1493.31
904,738,3,2865.5
904,91,1,1839.64
586,524,2,2354.22
586,373,5,2040
586,356,2,2042.29
586,338,6,1822.87
586,976,3,1951.27
586,369,5,1937.81
586,967,1,1985.27
586,159,7,1176.77
586,361,2,1858.79
586,218,7,2219.17
820,533,7,1280.69
820,725,3,1730.78
820,254,1,2329.86
820,295,1,2392.31
820,905,5,2648.91
820,158,4,289.38
820,19,3,697.32
820,295,7,2209.87
820,162,6,2100.7
820,659,2,1512.56
523,307,5,915.77
523,918,5,2172.94
523,107,2,1007.37
523,247,6,1600.85
523,234,4,2299.06
523,71,1,1473.49
523,364,3,3450.4
523,304,4,1287.78
523,251,7,1465.31
523,868,1,2210.62
936,389,5,1562.02
936,965,7,1222.04
936,895,1,1736.52
936,680,7,1961.12
936,958,4,1277.6
936,570,4,984.25
936,25,4,1392.5
936,770,6,2015.99
936,450,6,1956.75
936,225,2,3162.36
470,782,6,1308.21
470,427,7,1859.71
470,187,2,720.2
470,49,7,1475.61
470,215,5,2098.43
470,748,6,664.61
470,668,3,1737.89
470,904,3,2135.14
470,290,4,2943.89
470,147,7,953.93
240,509,3,1749.24
240,930,3,1963.79
240,451,1,1826.64
240,352,2,452.75
240,441,4,2247.71
240,587,2,2198.19
240,792,6,927.64
240,684,1,1539.9
240,470,7,2224.25
240,977,5,1676.81
533,542,3,643.04
533,194,6,994.91
533,432,6,1276.35
533,206,3,1356.89
533,423,1,886.32
533,419,7,1054
533,199,7,817.54
533,475,4,1103.47
533,820,7,1253.74
533,416,3,1511.94
910,346,3,1637.69
910,102,6,1136.91
910,82,2,1697.67
910,491,2,2429.4
910,273,3,2296.38
910,245,6,1067.9
910,937,6,1357.62
910,360,2,2119.7
910,976,4,2130.33
910,916,1,193.95
147,970,4,2654.64
147,179,7,338.31
147,689,6,2581.5
147,159,2,2871.3
147,23,6,2058
147,496,3,2533.53
147,140,2,833.36
147,358,1,1407.65
147,747,1,564.17
147,959,7,952.72
610,933,6,1015.01
610,797,4,2699.78
610,978,4,2228.08
610,52,1,2476.8
610,940,2,1311.83
610,815,6,1240.92
610,130,6,1558.33
610,267,4,1485.71
610,208,1,2458.8
610,975,7,2099.36
437,214,2,1923.36
437,670,1,1431.77
437,214,3,1703.34
437,343,6,2458.78
437,538,3,1314.12
437,647,4,1573.01
437,838,2,1361.03
437,240,3,2368
437,160,7,1146.8
437,244,3,2449.33
830,610,4,1194.2
830,269,5,551.22
830,817,5,891.07
830,939,2,1064.29
830,180,6,1297.86
830,137,5,600.01
830,85,3,2471.89
830,46,4,1397.09
830,14,5,323.85
830,933,5,1144.2
520,333,6,2654.14
520,246,3,1848.6
520,287,5,3319.64
520,111,2,1069.35
520,787,3,1618.09
520,294,5,1677.6
520,261,7,1665.78
520,523,5,790.26
520,868,6,2958.6
520,316,4,1338.19
922,328,6,891.68
922,91,3,2119.86
922,230,2,1460.04
922,491,5,1318.97
922,543,4,2868.87
922,501,5,1417.12
922,931,7,482.26
922,146,4,1008.98
922,815,1,1738.12
922,739,1,1361.68
335,106,6,1698.71
335,795,3,1581.09
335,250,1,797.35
335,249,1,814.74
335,257,5,1704.64
335,701,4,2573.44
335,445,3,2258.95
335,376,6,2431.9
335,423,4,2469.29
335,282,7,2889.02
929,27,5,1657.9
929,207,3,2364.7
929,807,6,882.78
929,892,5,2515.39
929,958,7,1110.07
929,962,5,1018.51
929,904,2,1115.26
929,698,2,1778.63
929,652,3,1426.53
929,568,1,951.59
410,501,6,2236.59
410,364,3,2897.95
410,362,1,3409.44
410,964,6,1944.12
410,740,5,1555.55
410,371,7,1274.16
410,176,2,1397.14
410,742,3,2149.43
410,168,7,1074.65
410,363,2,3017.67
450,763,4,1422.91
450,522,7,1299.39
450,108,4,1136.44
450,442,3,423.85
450,932,7,1853
450,252,7,1716.29
450,877,4,1844.29
450,507,4,1452.39
450,882,4,1466.85
450,908,7,2079.52
500,170,7,1149.95
500,539,7,1883.24
500,432,5,977.97
500,130,5,1934.16
500,589,2,1732.52
500,894,4,2694.67
500,188,6,1046.9
500,171,3,954.82
500,896,3,2338.08
500,273,7,2283.56
939,630,5,1760.11
939,75,2,1804.13
939,352,7,2096.63
939,646,7,988.81
939,142,1,1150.56
939,834,7,1037.63
939,402,4,1663.97
939,346,4,2458.79
939,133,3,1961.43
939,747,2,1846.05
337,394,7,2921.84
337,573,5,2109.92
337,719,7,2089.48
337,216,4,768.72
337,875,6,2295.97
337,683,1,587.44
337,873,7,1983.95
337,491,1,2549.76
337,356,2,1647.18
337,485,7,1599.43
289,581,5,1672.22
289,379,2,2129.68
289,495,4,3026.37
289,794,5,2896.12
289,830,3,1783.44
289,235,6,753.06
289,633,7,2041.39
289,813,2,1775.74
289,876,5,248.59
289,761,3,1053.34
934,206,6,2779.44
934,955,4,1409.91
934,47,5,2159.88
934,85,1,2677.28
934,209,5,2828.66
934,494,6,495.55
934,971,6,2890.81
934,521,3,2719.33
934,880,2,1260.15
934,780,7,2648.73
889,131,2,1602.76
889,927,6,698.89
889,936,7,774.55
889,183,3,1488
889,178,6,2001.64
889,339,7,2985.87
889,811,6,710.93
889,140,2,1887.18
889,902,6,1281.15
889,647,7,2828.35
152,952,3,1651.93
152,338,2,2543.15
152,883,4,2173.88
152,606,6,1882.56
152,110,7,3109.79
152,512,6,3614.22
152,926,6,723.76
152,467,1,1749.22
152,12,6,1875.26
152,45,4,1662.16
195,366,7,1290.46
195,640,4,2132.48
195,435,1,1602.77
195,476,1,2228
195,564,2,949.11
195,434,6,1112.6
195,562,2,908.76
195,535,7,1045.77
195,430,3,958.11
195,436,7,1408.88
51,552,6,1198.6
51,274,4,1455
51,968,6,2362.38
51,86,2,1697.87
51,742,1,1380.77
51,50,4,981.3
51,103,1,2476.07
51,333,1,2666.75
51,42,6,479.59
51,13,1,1571.53
43,410,4,512.94
43,826,1,2024.83
43,979,7,1899.5
43,179,3,2043.59
43,52,5,197.78
43,826,2,1989.8
43,119,5,1472.94
43,483,3,1958.55
43,899,3,3120.73
43,964,2,2321.39
589,976,7,977.27
589,803,1,1093.54
589,536,6,1062.19
589,920,5,3046.27
589,510,4,1926
589,837,4,1052.15
589,723,2,911.72
589,551,4,2163.8
589,437,2,1636.27
589,255,5,2589.5
52,490,6,1294.38
52,833,3,2127.17
52,599,6,982.28
52,752,7,1529.61
52,921,5,2691.56
52,197,7,872.69
52,481,6,1946.55
52,360,7,1690.33
52,746,2,2067.49
52,240,6,2851.38
132,963,3,1140.81
132,646,7,2005.4
132,743,3,1564.52
132,843,6,2211.15
132,160,7,2032.54
132,696,6,1848.09
132,422,7,1568.01
132,550,2,1723.88
132,590,3,2093.22
132,480,7,2143.94
276,755,4,2644.03
276,435,7,1897.08
276,317,3,996.23
276,139,1,939.14
276,624,3,1232.63
276,173,3,1343.96
276,620,4,659.66
276,277,2,399.81
276,373,5,1923.56
276,2,3,1097.33
74,330,6,1913.87
74,819,1,1362.46
74,265,7,2487.98
74,258,6,889.08
74,255,7,807.44
74,36,3,2644.77
74,215,7,2059.23
74,682,5,2981.86
74,241,7,1107.61
74,265,2,2852.57
173,698,1,499.16
173,670,5,675.39
173,120,3,861.04
173,326,4,1561.31
173,964,1,1638.82
173,83,2,1813.18
173,322,2,2322.15
173,692,2,167.43
173,632,6,2063.14
173,167,5,351.25
61,898,6,2692.84
61,894,3,2071.47
61,322,7,2800.44
61,600,7,1799
61,603,7,1733.73
61,616,1,2310.61
61,744,3,1231.1
61,951,6,1428.93
61,941,2,2817.17
61,374,1,405.64
183,749,1,883.27
183,491,2,1243.97
183,933,4,1647.52
183,181,1,311.22
183,941,5,1526.32
183,697,2,326.9
183,947,3,1170
183,572,3,1767.78
183,163,5,636.05
183,957,6,518.89
23,152,7,1821.9
23,374,3,2273.72
23,952,2,1273.91
23,953,7,925.34
23,154,4,1880.77
23,364,5,3013.04
23,925,2,1809.93
23,609,2,1852.2
23,929,3,1763.44
23,924,7,2077.47
180,416,4,1576.01
180,85,6,1581.43
180,540,2,2683.38
180,752,1,857.59
180,49,6,1857.09
180,498,4,3511
180,922,5,1585.15
