sourceid,dstid,dow,mean_travel_time
322,587,1,2291.433
322,25,6,2122.2803
331,788,1,1353.0671
331,679,7,1099.6763
356,9,7,1621.4684
356,862,6,2293.9443
255,791,3,289.89554
255,819,3,571.3128
326,117,3,2175.6035
326,904,5,1755.223
681,775,6,838.0085
681,501,2,1342.7933
340,367,6,2284.3499
340,918,7,1614.0127
682,201,6,2080.2664
682,230,1,1716.8062
153,9,7,1674.632
153,273,1,1541.4209
299,775,4,1016.97186
299,307,4,412.32712
342,740,5,2346.5232
342,422,4,1664.1481
363,327,7,1749.6823
363,36,1,2693.7798
206,178,1,2436.569
206,64,7,624.0492
248,785,2,1575.4426
248,72,5,1745.4489
751,421,7,2180.2686
751,134,4,1498.329
321,704,7,1763.4368
321,449,5,2451.5713
287,951,6,2390.2664
287,276,1,2683.2173
362,575,1,1787.9908
362,891,3,1966.8215
71,286,5,1465.352
71,884,1,809.26135
672,160,6,2068.9175
672,21,7,2597.0173
753,203,7,152.57169
753,478,7,2669.5994
364,192,7,2029.159
364,926,7,1085.4462
256,875,7,1604.5503
256,289,3,1801.0914
655,184,2,3063.921
655,542,2,1705.1034
333,647,3,1120.392
333,437,3,1754.2166
142,231,3,1718.7415
142,529,3,1781.7424
236,346,2,1228.0515
236,744,5,2363.1758
415,813,2,1944.3192
415,961,2,1491.2494
587,662,6,995.91754
587,680,5,1329.0499
328,908,1,1813.8224
328,501,5,2028.5963
644,27,7,368.41367
644,279,4,1486.7285
246,442,1,1629.4335
246,530,1,2455.7842
935,771,7,1415.7483
935,96,1,1279.039
917,483,6,2349.878
917,342,7,1449.3429
530,235,2,2662.9663
530,583,4,1878.3048
481,542,3,955.398
481,732,1,2254.2493
482,934,4,2302.789
482,677,1,745.6662
510,635,6,1358.9608
510,517,2,712.80054
937,569,4,1481.2484
937,871,1,652.3383
492,121,3,1788.5574
492,980,1,1267.77
926,474,4,3024.5327
926,802,2,1884.0637
295,332,4,1926.0146
295,304,3,300.442
480,59,5,3044.1628
480,474,2,787.3949
540,471,7,2068.8835
540,640,3,1969.7013
904,265,4,1693.6068
904,759,5,1371.3916
586,564,3,1268.2987
586,475,6,942.8409
820,227,2,1937.243
820,893,2,881.0449
523,526,6,442.45886
523,527,1,210.29314
936,552,6,2601.8315
936,380,6,2125.147
470,550,7,1822.1827
470,899,2,1482.3141
240,214,2,955.5
240,591,3,2333.6577
533,215,2,2089.982
533,211,2,1808.2627
910,771,3,1314.1927
910,980,1,999.4162
147,374,6,1569.6534
147,667,4,2368.5754
610,171,5,1605.3722
610,807,5,1288.9878
437,647,5,1434.279
437,689,5,1865.6833
830,53,1,2027.0424
830,465,3,2471.3235
520,525,4,1125.8354
520,509,4,538.7531
922,898,1,947.42065
922,399,2,2882.96
335,376,3,2094.4763
335,924,2,2140.008
929,321,4,294.82172
929,215,1,2276.4854
410,464,2,1642.7407
410,374,3,1547.8114
450,506,1,1572.6992
450,883,3,1517.1769
500,214,1,1610.7346
500,701,3,1961.616
939,867,5,1404.5012
939,880,7,1103.213
337,353,5,731.6588
337,467,2,1772.3461
289,568,1,1892.6814
289,632,1,895.0269
934,890,6,770.53394
934,758,5,1897.884
889,270,6,386.98068
889,744,5,1795.7432
152,259,7,1910.4414
152,408,1,1923.7863
195,694,1,528.90515
195,564,7,836.9021
51,677,5,2377.3967
51,707,4,1876.774
43,47,1,467.09006
43,434,2,1383.7407
589,363,2,1247.7598
589,498,3,964.78436
52,601,2,2022.8047
52,820,6,2045.3015
132,696,3,2002.6559
132,619,3,2288.4622
276,367,7,2244.33
276,751,1,2056.884
74,527,5,1609.1594
74,891,2,1887.0096
173,206,1,2225.337
173,740,3,726.3497
61,201,6,1629.3174
61,198,3,1048.9187
183,750,2,997.3629
183,908,5,2139.9756
23,441,7,2863.045
23,920,5,2102.19
180,286,7,1372.4445
180,496,3,2447.9812
22,826,6,917.2465
22,32,4,911.9519
247,923,1,2377.233
247,911,5,1205.171
923,756,1,1938.8934
923,253,7,1800.7932
174,480,6,2672.5398
174,954,7,1206.1561
354,207,7,2113.7146
354,103,2,1981.5377
141,87,6,336.8032
141,271,1,623.33923
243,261,1,991.49115
243,309,5,1620.7163
64,84,1,722.1204
64,706,4,1873.6605
928,962,2,1523.9824
928,165,3,1917.5443
723,682,7,1439.5111
723,545,6,1049.5758
249,815,6,2621.1968
249,333,6,1275.4657
154,911,4,1630.7235
154,738,4,1323.4727
63,703,2,1487.4226
63,833,1,2559.284
304,110,4,990.0703
304,351,1,1571.3198
155,903,1,1156.4437
155,322,3,738.27747
44,47,1,133.35156
44,488,2,1702.635
752,423,5,1879.271
752,409,6,1883.252
961,754,6,1509.5377
961,168,5,1166.2877
982,9,1,1271.3104
982,158,2,1491.8728
941,604,4,2982.8567
941,600,1,2657.0193
73,395,5,1735.5107
73,462,4,1402.3826
943,328,3,1597.7844
943,496,6,2437.0464
915,290,7,462.52396
915,571,3,2067.081
371,951,3,2139.4744
371,1,1,2625.4668
930,806,3,1583.7523
930,622,3,2915.3484
933,559,2,2581.501
933,967,5,2276.952
932,411,7,2460.1135
932,615,3,3028.3718
980,386,7,2703.7227
980,182,7,2113.5442
184,177,3,681.88226
184,133,2,995.16846
353,840,5,1433.2014
353,259,3,1869.4564
211,253,4,1858.7837
211,970,4,1311.2692
925,177,6,1636.3234
925,179,6,1365.8176
14,949,3,751.19635
14,824,5,1012.20776
538,553,2,784.00964
538,209,2,1789.0532
546,350,4,1869.3452
546,855,7,1266.4482
517,721,5,2585.6855
517,59,4,1752.7292
507,21,1,3119.0217
507,335,7,2016.7208
134,569,1,1460.1271
134,156,5,1757.8069
506,102,1,1882.4637
506,109,1,370.32773
50,376,5,1616.7776
50,711,7,1044.6449
921,32,4,1709.5784
921,390,4,2982.2244
981,669,3,1257.0721
981,205,7,1268.5051
528,523,6,378.73434
528,509,2,1451.968
519,6,1,1762.8827
519,521,5,150.8093
624,939,6,2515.1895
624,323,7,2471.0854
637,878,1,1689.0454
637,428,3,2245.7827
940,86,1,1543.3748
940,342,5,1975.205
639,48,5,1840.4408
639,911,2,1863.3817
625,652,7,557.75885
625,642,2,840.9827
931,473,3,2142.5962
931,175,5,1973.9774
537,922,1,2167.2039
537,554,4,424.0091
636,142,4,1909.9226
636,950,3,1268.559
159,415,6,1502.7881
159,350,2,2082.4902
138,210,1,2459.2686
138,36,1,2021.0518
179,867,5,2494.1523
179,412,3,1803.5508
605,185,4,1591.7493
605,372,2,1622.3811
109,669,2,2781.9316
109,207,7,2388.778
158,662,1,1416.0088
158,768,3,1773.8049
638,511,7,2119.058
638,540,4,2979.3564
139,941,1,2170.6619
139,664,3,2273.7278
162,977,6,2050.1138
162,414,2,1621.2871
950,891,3,2077.9546
950,839,6,2253.4011
341,632,7,1621.6104
341,523,4,1843.8876
916,888,3,2175.658
916,569,2,2100.7617
758,354,2,1871.4408
758,335,3,2005.4286
798,779,1,593.6128
798,363,6,1889.374
964,877,3,1866.5256
964,824,1,930.14185
913,437,1,2107.5723
913,571,6,1891.0973
311,302,3,375.61966
311,100,6,2364.6694
473,476,4,2756.5205
473,56,1,1229.6096
475,202,4,2957.0083
475,471,6,2035.4615
954,283,1,1606.7549
954,606,7,1314.939
135,131,6,44.76241
135,626,5,2408.6367
924,223,4,2928.238
924,319,7,888.0252
374,675,7,1814.9767
374,969,5,2257.1714
952,898,6,1788.1211
952,610,6,951.72626
121,441,2,1977.1786
121,46,3,696.7142
900,361,6,1873.7562
900,275,7,2017.2035
379,377,5,404.86935
379,403,4,1207.2762
223,85,1,2302.558
223,261,5,1975.815
270,675,1,3308.6873
270,637,1,1266.3865
242,765,7,1859.9966
242,934,5,2133.4543
66,98,7,708.19556
66,287,7,1816.4974
18,683,4,1278.3594
18,743,4,1770.3351
290,920,3,1705.3083
290,251,1,605.4502
49,678,3,2034.5853
49,429,5,1341.1731
209,353,5,1751.311
209,687,3,646.783
268,510,5,2359.2566
268,157,3,1484.8988
282,468,2,2289.5938
282,245,1,2587.551
213,687,1,637.38153
213,150,5,2327.4482
230,77,7,1853.621
230,352,5,1706.6299
219,213,5,2372.6492
219,353,2,1542.7181
366,486,2,1219.9779
366,287,6,2180.4788
19,539,4,1881.2522
19,706,6,1804.4221
271,967,3,2693.0286
271,769,6,2667.8518
217,968,4,1153.8771
217,246,7,2018.5732
76,978,7,2327.2944
76,886,6,896.50104
79,82,2,1530.4453
79,142,7,933.4308
403,95,5,967.0402
403,566,5,2047.5914
442,333,5,2462.442
442,921,6,2294.7332
515,74,7,1241.8506
515,292,3,1853.9524
103,387,1,1407.4419
103,524,2,2166.2246
407,2,3,844.07
407,58,1,1918.4567
524,940,2,1226.6368
524,83,6,994.31525
551,918,2,1778.0085
551,770,3,2698.6257
291,498,2,2386.3472
291,213,5,2124.2788
441,426,1,654.3021
441,210,3,1699.8993
26,626,2,615.29285
26,284,3,519.5097
259,89,3,1712.871
259,781,4,1657.5171
432,491,6,1359.3198
432,964,3,2342.088
269,813,4,810.8104
269,896,3,1587.8452
514,576,4,1098.4247
514,519,3,319.73666
258,451,7,1153.605
258,255,4,1522.1394
434,436,1,693.0347
434,346,3,1999.6147
266,425,2,2456.8298
266,37,6,457.13574
550,465,4,2026.2804
550,820,3,1496.4355
912,938,6,1418.2238
912,965,1,1728.8285
224,688,5,1773.7397
224,525,5,1542.8938
424,169,3,1867.0509
424,801,7,2076.8245
231,543,4,2462.311
231,904,2,1061.1182
505,488,4,1094.8739
505,896,2,2115.1248
120,637,5,1925.2501
120,43,2,870.51385
534,374,3,1522.1329
534,672,7,865.82874
497,897,1,2593.8528
497,683,7,1008.6963
476,490,2,2183.9954
476,166,1,3406.5571
485,635,7,3271.3555
485,934,3,3729.2388
914,394,5,1724.8962
914,152,3,1634.3107
552,898,5,2097.1677
552,372,6,1323.1362
496,968,4,591.44904
496,723,4,883.76746
686,535,7,1818.0958
686,874,3,2157.1455
908,151,2,2069.536
908,456,2,2757.2224
414,437,3,1357.7938
414,821,2,2456.9163
768,549,7,2307.8906
768,230,2,959.20026
769,429,4,723.10583
769,154,3,1979.222
903,858,7,2421.8333
903,832,1,1909.7225
215,285,2,1229.1906
215,663,5,2657.692
789,981,1,1892.0052
789,495,3,1767.7572
901,234,1,1193.845
901,99,5,1397.062
264,485,5,3040.77
264,415,1,2332.4646
355,874,7,1831.4618
355,342,2,1100.2913
573,117,7,2091.07
573,534,1,2802.6016
436,484,6,1963.458
436,838,6,1416.3507
553,682,4,1133.8778
553,561,6,997.6212
729,790,5,1390.0835
729,720,2,593.67175
767,372,6,2174.617
767,207,3,1445.9972
368,150,5,1500.0135
368,181,1,1007.1118
558,543,6,570.3597
558,552,2,1123.1107
369,601,2,2579.2932
369,360,7,1372.6453
359,918,3,1456.5525
359,300,6,2223.57
756,352,3,2226.0945
756,2,7,1349.5397
544,663,1,1561.2072
544,819,1,2229.0952
347,788,1,1019.3459
347,871,3,1873.1328
409,950,7,2299.2244
409,359,3,2362.243
759,243,6,1382.306
759,519,2,1731.3044
543,167,7,2205.718
543,839,6,2056.061
267,153,7,1282.9938
267,325,6,1016.9854
318,629,4,1725.0002
318,242,1,1907.4543
365,816,1,2270.2292
365,763,6,1742.276
464,432,2,1265.7334
464,289,2,2245.71
578,869,1,1704.1171
578,520,7,1100.6455
779,302,7,1173.5876
779,355,6,553.3402
339,695,3,1861.9381
339,663,6,2318.847
201,538,3,2134.1287
201,654,6,2128.5
319,665,3,2955.273
319,958,1,1110.06
577,689,6,1697.2584
577,915,6,1435.2483
225,577,4,1935.2877
225,845,3,1276.9603
478,735,3,1108.9906
478,664,7,1996.3645
748,358,4,915.82086
748,847,6,1807.7559
597,128,7,872.4923
597,273,3,1471.9476
367,140,7,1387.0054
367,436,3,846.95856
426,563,5,567.04236
426,701,3,613.2167
542,189,7,1253.9551
542,977,5,1533.1967
218,352,2,1856.078
218,866,3,453.3451
740,246,6,2356.2253
740,396,3,3008.7334
700,194,7,937.15594
700,189,5,640.53906
377,934,6,1823.0155
377,100,6,1227.5746
317,231,5,1646.0027
317,285,2,1394.9387
711,372,1,1829.1893
711,198,7,877.8898
919,508,4,1865.414
919,286,2,1112.0259
720,370,6,2258.298
720,865,3,1058.9872
309,338,6,2140.2698
309,771,5,1810.5498
702,367,3,1527.0326
702,427,1,729.87976
54,472,1,1948.4617
54,187,3,1804.9246
53,60,7,438.3593
53,501,6,1717.3972
539,730,7,1212.3478
539,54,6,1700.9202
739,55,1,1144.7587
739,469,5,636.84625
742,58,2,1100.6576
742,490,6,1495.7891
902,633,2,1771.4097
902,105,1,1785.6207
746,288,7,1733.0363
746,680,6,2136.2832
6,892,2,1764.7341
6,394,5,2183.525
4,485,7,2903.9233
4,965,1,1228.3013
733,535,2,1623.9105
733,541,7,1327.5175
444,242,5,2083.3545
444,101,2,1279.3367
232,686,3,1193.3809
232,203,1,1446.8541
629,923,5,1558.0735
629,391,3,907.73065
627,567,6,2544.571
627,326,7,1790.553
608,11,4,1176.416
608,903,1,1749.7289
749,592,7,2647.1794
749,557,5,2565.0664
336,424,5,2147.9
336,361,6,1358.8578
583,511,2,971.9276
583,343,4,1662.0675
292,508,3,1112.5049
292,38,3,2218.4253
458,398,5,1427.2708
458,759,3,1203.8296
757,819,7,1715.2079
757,881,6,776.0354
327,212,3,2167.0051
327,669,7,2615.654
599,956,4,1342.9866
599,941,6,1782.352
513,238,3,2019.745
513,788,3,1085.8451
474,754,5,2543.7673
474,976,5,2377.2751
376,151,5,2202.729
376,276,5,2772.8164
501,966,4,1859.6757
501,760,5,2237.2563
92,397,4,1151.3926
92,482,7,3198.3176
93,246,4,2241.4734
93,379,5,1118.6927
205,913,2,2578.2688
205,647,3,693.0616
91,908,2,2099.9187
91,102,5,807.6645
94,325,1,1749.8892
94,885,3,937.7641
430,978,5,2423.473
430,547,2,773.9342
431,492,4,1926.2745
431,564,4,1102.5499
404,628,6,1232.2041
404,387,4,815.75885
416,805,5,2692.618
416,962,4,2117.6135
406,982,5,2483.7852
406,975,6,1527.2756
95,326,6,1839.1462
95,90,1,674.13104
556,776,2,1819.2457
556,54,3,1714.7291
428,240,5,1950.2924
428,815,5,2440.5706
408,214,4,2917.9502
408,928,3,1902.3422
325,46,5,2056.9565
325,426,2,2596.6404
412,739,2,1643.9384
412,49,4,873.5545
726,424,6,2053.979
726,564,7,1667.8132
495,742,3,2394.0447
495,259,4,2969.0598
842,858,4,620.0762
842,794,5,1121.0162
841,506,6,2294.9053
841,753,7,1313.8468
890,370,1,2510.1763
890,131,1,1932.38
433,532,4,576.31256
433,486,5,1454.4241
275,373,5,2546.6448
275,325,3,810.8638
90,201,7,1722.4161
90,762,1,1635.0244
728,727,3,123.77556
728,859,2,566.3147
850,205,4,2062.4146
850,967,2,1460.5487
909,883,5,1579.642
909,830,7,1963.3777
421,701,3,506.7435
421,893,7,1508.0155
349,978,2,1897.8412
349,221,5,1091.4813
870,261,5,1002.132
870,73,3,2142.7546
579,363,4,1979.886
579,980,2,2127.4358
859,340,2,1518.3446
859,722,4,844.1712
869,224,2,1958.8239
869,964,6,2270.201
310,296,2,730.68396
310,285,2,2639.469
898,135,6,2128.855
898,542,7,2143.6094
878,94,6,673.48334
878,679,6,2671.8474
747,155,5,1168.5701
747,160,4,2042.5776
253,518,5,1771.618
253,484,1,2618.93
899,837,5,2052.7078
899,373,4,1794.887
868,19,5,2058.2732
868,929,1,1777.7317
882,335,6,1989.3286
882,115,6,1528.0626
557,669,3,818.6052
557,573,5,2228.8745
832,326,5,1237.565
832,542,6,2890.0671
2,233,1,1873.0071
2,787,2,2172.4922
3,327,4,1242.7722
3,248,4,2465.2253
338,937,7,2570.6191
338,767,6,598.8524
566,41,3,1621.506
566,610,6,1904.3937
435,667,4,1010.3853
435,727,1,1806.3259
301,311,3,1066.6316
301,8,7,1593.339
300,799,3,412.80237
300,304,6,538.12823
838,881,1,2554.0369
838,74,2,2015.0272
867,682,7,1270.6473
867,271,2,2291.2144
357,114,7,2502.9067
357,209,2,713.1065
375,429,1,189.8179
375,126,3,1671.313
320,174,4,1689.304
320,870,3,1833.133
405,406,2,242.25876
405,63,5,402.42065
861,796,2,1931.2733
861,427,5,2461.2725
358,103,5,1932.941
358,693,7,2177.386
395,96,1,1557.6228
395,38,4,1106.6641
826,35,3,1154.0271
826,741,4,2443.4812
847,152,4,2225.3735
847,813,6,2314.014
467,898,5,1561.7938
467,276,7,2260.7595
837,139,4,2263.5576
837,208,4,1095.0594
568,288,4,2098.4595
568,179,7,716.6629
836,361,7,1414.3307
836,331,1,1692.9463
493,967,1,1969.5596
493,769,6,500.61478
819,682,5,1453.8127
819,224,7,1157.226
646,508,3,2899.587
646,90,2,1928.6624
498,836,3,429.91144
498,138,4,2994.021
858,892,5,2388.039
858,8,4,735.9205
647,484,5,1802.9478
647,292,5,2360.1702
905,581,1,2223.4004
905,978,5,1868.5801
808,99,5,1432.8374
808,130,2,2066.2112
244,317,3,2380.849
244,318,5,2094.4216
265,596,2,1487.5111
265,544,3,2951.2102
567,609,2,1440.4115
567,838,1,1403.6749
562,674,6,1103.5225
562,554,2,1101.8224
561,208,2,1962.2944
561,140,7,1964.9816
286,103,4,1106.1521
286,889,7,710.5489
370,11,5,2129.848
370,587,3,1713.6263
360,74,7,1874.6252
360,795,7,1708.5762
20,376,5,858.48157
20,841,3,1242.0911
80,820,1,2630.5657
80,255,6,983.0304
743,20,1,1644.3788
743,598,1,2090.2
40,909,5,2023.2208
40,753,4,1817.1503
907,569,5,1865.259
907,684,6,1801.2352
234,850,3,1965.5583
234,305,4,1932.6213
294,800,4,465.58987
294,577,1,915.1502
293,161,3,1653.9587
293,111,6,1104.673
252,969,6,1698.8007
252,77,3,1130.9509
332,442,6,2169.2878
332,781,7,1317.4248
886,890,1,1749.4758
886,607,3,1641.7052
879,630,1,1225.2341
879,10,3,1274.7256
897,931,6,497.5485
897,916,4,973.1623
261,9,4,456.95392
261,511,7,1232.9362
284,831,6,379.3683
284,156,1,2265.894
563,193,4,999.8443
563,64,1,1512.4025
877,139,1,2337.7551
877,252,6,1434.4456
55,175,7,575.48816
55,211,5,2260.8843
57,744,6,1876.6145
57,428,5,1106.5853
241,919,7,659.51715
241,299,5,1740.2067
619,833,6,1535.8252
619,397,3,2016.0046
15,313,6,1621.3574
15,791,3,408.16226
11,633,4,1829.468
11,134,5,800.7101
38,598,4,2811.281
38,374,5,2603.799
214,938,3,2245.1726
214,647,2,1132.1151
47,84,5,1824.7806
47,140,6,585.099
545,976,2,2439.6292
545,979,7,2335.1533
36,39,2,811.9979
36,640,6,2853.1702
372,345,6,2246.8694
372,724,7,2323.964
17,363,7,1323.5607
17,317,6,2541.512
58,810,1,2261.7026
58,841,4,2099.7954
59,196,5,1325.4343
59,952,6,1670.5853
296,251,1,1162.9331
296,780,2,831.2589
56,140,4,1043.0865
56,415,4,426.01096
9,484,6,2703.9617
9,289,7,444.6346
78,82,3,180.12761
78,355,1,1330.0521
760,757,3,166.72624
760,10,7,1624.5026
7,659,7,1754.1045
7,477,3,1977.8516
77,66,1,808.98
77,244,6,1527.9724
813,873,1,1284.1243
813,185,7,1205.382
701,556,6,1493.311
701,467,1,1751.3629
833,253,7,2511.4058
833,826,6,433.83566
39,904,7,1895.4072
39,833,5,808.45245
703,743,6,745.2265
703,478,2,2959.772
721,538,1,1077.242
721,485,4,453.60764
233,799,2,1369.0186
233,41,5,2893.4912
817,608,5,1113.7123
817,900,5,1682.1172
186,750,3,777.4452
186,469,5,1139.3829
177,960,6,984.9501
177,187,7,532.2175
413,738,5,1678.0548
413,43,4,474.25638
189,714,2,1170.2803
189,705,4,512.71606
164,745,3,1513.9863
164,566,2,1740.5571
822,29,6,848.2762
822,186,7,1393.5432
176,748,1,973.65063
176,147,1,736.5403
167,178,2,394.1918
167,974,2,2141.7803
823,374,4,3006.3079
823,954,1,1591.4656
196,417,3,418.2544
196,659,6,1559.8754
570,282,4,886.58795
570,745,2,1405.8453
16,112,2,1415.4845
16,897,2,1182.208
168,755,7,1796.4297
168,604,2,1373.4241
165,638,4,1285.238
165,947,5,1177.8258
312,528,1,734.00024
312,214,5,2510.256
185,409,7,1245.1022
185,161,5,2543.5217
178,769,4,2336.6697
178,481,3,2643.1265
535,83,6,1574.3694
535,360,6,2021.7418
718,782,3,1787.375
718,686,3,2199.217
738,232,4,2193.9712
738,18,3,1938.571
840,910,7,2142.1318
840,203,6,2430.13
800,344,1,1459.7687
800,347,4,1524.2765
705,152,2,2579.4204
705,124,4,1781.8179
821,551,5,1583.1453
821,52,7,2063.3013
708,63,2,1159.6279
708,158,5,1758.8427
659,952,6,2993.055
659,723,3,1248.0654
704,474,2,2965.3062
704,63,6,1643.0305
483,980,7,2292.2512
483,272,6,3225.6733
334,667,5,1606.444
334,93,3,2526.659
772,239,5,983.0138
772,339,6,1994.5266
254,225,5,2543.6328
254,343,4,1217.1849
927,913,7,1239.322
927,40,4,1352.4951
584,903,1,2111.7642
584,873,6,2141.4983
251,790,2,1388.9692
251,838,5,1997.5509
854,978,6,768.7945
854,29,3,2443.6145
793,109,2,490.87808
793,775,1,1116.6813
918,787,4,1673.2836
918,360,3,2067.0403
831,328,7,886.09985
831,934,2,1349.8524
843,221,1,1597.7068
843,849,3,909.3984
454,913,3,2169.052
454,142,3,1382.3287
978,860,5,2052.0654
978,956,3,2402.3599
977,567,7,372.72238
977,436,4,1200.6678
471,491,5,748.79956
471,959,5,1981.3656
979,102,3,2528.544
979,280,7,2685.0872
472,117,7,1588.1277
472,500,1,528.72296
976,714,6,2622.7046
976,741,4,1206.3907
678,785,6,1735.36
678,714,2,2633.7756
667,353,6,1835.9596
667,218,6,1977.263
975,335,3,1618.4415
975,704,5,1744.2576
684,860,6,1674.1185
684,52,4,2280.6824
600,741,2,1924.0001
600,411,5,934.841
666,207,4,361.9314
666,496,4,801.35693
668,155,7,1394.0845
668,372,4,1634.0873
677,575,3,2341.5842
677,543,1,1763.8799
694,672,5,1033.4575
694,979,1,2451.825
696,362,1,2901.4934
696,546,7,1020.5067
427,656,6,1225.0537
427,667,6,1204.2388
699,320,7,1748.7554
699,668,2,365.44473
511,847,3,2311.3418
511,575,7,1148.2161
809,567,6,2201.1738
809,924,1,1373.8115
502,655,1,1409.2917
502,694,2,299.49673
679,202,1,2213.7534
679,334,7,1102.9396
692,162,7,294.41998
692,944,4,1256.7279
693,892,2,2023.1327
693,371,6,791.63446
685,158,4,1144.6193
685,970,7,979.6644
674,896,6,3211.2598
674,209,4,2377.8777
771,10,1,1796.5854
771,883,2,644.18866
770,772,1,169.48906
770,921,3,2319.468
126,129,5,610.60956
126,552,3,2356.4717
136,137,6,821.6345
136,568,7,1550.588
157,877,3,1712.2592
157,880,7,1547.0466
149,505,6,1280.4852
149,698,6,685.61835
148,104,2,2111.737
148,317,2,1123.9084
468,478,7,2490.1538
468,641,6,3498.8313
197,562,2,892.34436
197,546,5,1089.7936
119,133,7,554.4701
119,137,3,616.6447
106,161,6,1586.8307
106,470,1,698.28174
129,150,5,1127.5558
129,328,7,1302.6362
101,16,6,1371.7968
101,290,4,1633.7771
156,48,2,2043.6398
156,230,7,1198.3668
592,686,6,1123.0028
592,910,6,2443.9521
137,97,2,2110.158
137,486,1,2166.4753
911,402,3,2343.313
911,920,4,1520.0366
169,820,7,2069.4326
169,499,6,2760.853
582,910,4,2118.493
582,351,4,1207.3693
188,489,7,1597.1686
188,271,3,2214.2007
323,704,1,1613.4957
323,92,3,514.9027
382,395,4,737.3383
382,935,5,2365.3438
187,165,7,488.9786
187,374,7,1015.918
484,261,6,2581.3647
484,429,4,2156.727
547,687,7,1682.676
547,721,6,939.1326
719,559,4,1566.8234
719,587,6,1322.626
688,752,5,2093.6023
688,252,6,1877.2345
419,679,5,1677.5435
419,490,5,1017.89514
343,108,5,1614.2291
343,333,4,546.42773
585,241,1,1532.7915
585,939,3,2241.6294
512,583,2,673.5953
512,680,3,2399.5513
554,659,1,760.2823
554,701,1,1209.7231
575,158,1,2400.134
575,886,5,1603.2343
221,5,1,2231.816
221,228,2,692.9268
208,768,3,1871.9824
208,872,5,2175.2014
803,209,4,198.09824
803,748,2,1682.291
802,812,3,931.5368
802,11,6,954.1243
855,862,5,561.58624
855,785,6,1679.4266
581,576,3,737.4942
581,442,3,1083.6198
906,87,5,2411.8367
906,290,4,1066.4274
856,861,6,1979.4009
856,734,2,1606.2897
373,330,4,1750.443
373,678,6,1262.1139
48,176,5,1030.0795
48,83,6,1550.5416
45,415,2,608.8777
45,120,4,947.0533
857,246,4,2894.1716
857,217,2,1394.7084
792,898,7,1808.0338
792,208,4,2401.6196
777,250,1,1167.2428
777,780,7,852.24927
396,289,7,1977.1725
396,772,1,2006.6907
344,213,3,1107.4773
344,921,3,2516.493
477,839,4,2568.0874
477,492,7,3333.4902
361,201,7,1403.2966
361,475,7,2314.0662
207,8,1,2161.3013
207,218,1,2232.3916
5,595,1,2278.1814
5,771,6,1444.1539
829,809,7,1100.2175
829,806,7,1103.8052
394,285,4,2365.5881
394,82,7,1609.6909
235,666,3,1992.4785
235,473,5,2224.086
849,794,5,485.5285
849,297,1,1348.7906
887,88,7,1047.8071
887,103,6,1438.065
381,494,6,1365.2745
381,379,5,229.52512
827,625,6,1275.5684
827,828,7,725.72614
848,978,1,2261.3523
848,348,7,1211.4136
491,971,5,2286.423
491,63,2,1749.4792
397,335,6,2314.0432
397,631,7,769.53107
490,939,6,1975.1355
490,551,4,1534.7084
439,532,1,1234.5192
439,421,5,870.6783
835,768,7,2133.4866
835,869,7,1404.2074
